CollectionDate,week_score,CrimeGunsRecovered
2021-01-01,2.5,0
2021-01-02,2.5,0
2021-01-03,2.5,0
2021-01-04,1.064,0
2021-01-05,1.064,1
2021-01-06,1.064,4
2021-01-07,1.064,4
2021-01-08,1.064,2
2021-01-09,1.064,0
2021-01-10,1.064,0
2021-01-11,2.5,0
2021-01-12,2.5,2
2021-01-13,2.5,1
2021-01-14,2.5,5
2021-01-15,2.5,1
2021-01-16,2.5,0
2021-01-17,2.5,0
2021-01-18,1.666666667,0
2021-01-19,1.25,0
2021-01-20,1.25,1
2021-01-21,1.666666667,6
2021-01-22,1.666666667,3
2021-01-23,1.666666667,0
2021-01-24,1.666666667,0
2021-01-25,1.8,2
2021-01-26,2.25,0
2021-01-27,2.25,5
2021-01-28,2.25,9
2021-01-29,2.25,1
2021-01-30,3,0
2021-01-31,3,0
2021-02-01,7.25,0
2021-02-08,1.75,4
2021-02-09,1.75,3
2021-02-10,1.75,2
2021-02-11,1.75,1
2021-02-12,1.75,0
2021-02-13,1.75,0
2021-02-14,1.75,0
2021-02-15,0.2857142857,0
2021-02-16,0.25,7
2021-02-17,0.25,1
2021-02-18,0.25,0
2021-02-19,0.25,1
2021-02-20,0.25,0
2021-02-21,0.25,0
2021-02-22,1.448275862,5
2021-02-23,1.448275862,1
2021-02-24,1.931034483,2
2021-02-25,1.931034483,3
2021-02-26,1.931034483,0
2021-02-27,1.448275862,0
2021-02-28,1.448275862,0
2021-03-01,2.25,6
2021-03-02,2.25,3
2021-03-03,3.375,5
2021-03-04,3.375,7
2021-03-05,3.375,1
2021-03-06,3.375,0
2021-03-07,3.375,0
2021-03-08,0.5625,2
2021-03-09,0.5625,5
2021-03-10,0.5625,11
2021-03-11,0.5625,1
2021-03-12,0.5625,0
2021-03-13,0.5625,0
2021-03-14,0.5625,0
2021-03-15,0.84,3
2021-03-16,0.84,3
2021-03-17,0.84,0
2021-03-18,0.84,4
2021-03-19,0.84,1
2021-03-20,0.84,0
2021-03-21,0.84,0
2021-03-22,1.125,3
2021-03-23,1.5,4
2021-03-24,1.125,2
2021-03-25,1.125,4
2021-03-26,0.9,5
2021-03-27,0.9,0
2021-03-28,0.9,0
2021-03-29,1.375,0
2021-03-30,1.375,5
2021-03-31,1.375,1
2021-04-01,1.178571429,3
2021-04-02,1.178571429,3
2021-04-03,1.178571429,0
2021-04-04,1.178571429,0
2021-04-05,1.178571429,2
2021-04-06,1.375,5
2021-04-07,1.178571429,1
2021-04-08,1.178571429,1
2021-04-09,1.178571429,2
2021-04-10,1.178571429,0
2021-04-11,1.178571429,0
2021-04-12,0.7857142857,1
2021-04-13,0.9166666667,3
2021-04-14,0.9166666667,5
2021-04-15,1.1,3
2021-04-16,1.1,3
2021-04-17,1.1,0
2021-04-18,1.1,0
2021-04-19,0.75,1
2021-04-20,0.75,2
2021-04-21,0.75,0
2021-04-22,0.75,2
2021-04-23,0.75,0
2021-04-24,0.75,0
2021-04-25,0.75,0
2021-04-26,0.8214285714,3
2021-04-27,0.8214285714,4
2021-04-28,0.8214285714,2
2021-04-29,0.8214285714,0
2021-04-30,0.8214285714,0
2021-05-01,0.8214285714,0
2021-05-02,0.8214285714,0
2021-05-04,0.6458333333,0
2021-05-05,0.6458333333,0
2021-05-06,0.6458333333,5
2021-05-07,0.6458333333,0
2021-05-08,0.6458333333,0
2021-05-09,0.6458333333,0
2021-05-12,3,0
2021-05-13,3,2
2021-05-14,1.75,1
2021-05-15,1.75,0
2021-05-16,1.75,0
2021-05-17,5.428571429,1
2021-05-18,1.1875,4
2021-05-19,1.1875,1
2021-05-20,1.1875,6
2021-05-21,1.1875,1
2021-05-22,1.1875,0
2021-05-23,1.1875,0
2021-05-24,0.6388888889,1
2021-05-25,0.575,5
2021-05-26,0.575,2
2021-05-27,0.5227272727,2
2021-05-28,0.5227272727,2
2021-05-29,0.5227272727,0
2021-05-30,0.5227272727,0
2021-05-31,2.1875,2
2021-06-01,1.458333333,7
2021-06-02,1.458333333,0
2021-06-03,1.458333333,12
2021-06-04,1.458333333,2
2021-06-05,1.458333333,0
2021-06-06,1.458333333,0
2021-06-07,0.4285714286,0
2021-06-08,0.5,3
2021-06-09,0.5,5
2021-06-10,0.4444444444,4
2021-06-11,0.4444444444,2
2021-06-12,0.4444444444,0
2021-06-13,0.4444444444,0
2021-06-14,0.7012987013,1
2021-06-15,0.75,6
2021-06-16,0.75,4
2021-06-17,0.75,2
2021-06-18,0.6923076923,0
2021-06-19,0.6923076923,0
2021-06-20,0.6923076923,0
2021-06-21,1.392857143,1
2021-06-22,1.3,3
2021-06-23,1.083333333,1
2021-06-24,1.083333333,4
2021-06-25,1.083333333,1
2021-06-26,1.083333333,0
2021-06-27,1.3,0
2021-06-28,1.671428571,0
2021-06-29,1.625,2
2021-06-30,1.625,6
2021-07-01,1.625,0
2021-07-02,1.625,1
2021-07-03,1.625,0
2021-07-04,1.392857143,0
2021-07-05,1.8,2
2021-07-06,1.8,2
2021-07-07,1.8,1
2021-07-08,1.8,3
2021-07-09,1.8,0
2021-07-10,0.9761904762,0
2021-07-11,0.7321428571,0
2021-07-12,0.6833333333,2
2021-07-13,0.6833333333,0
2021-07-14,0.7321428571,17
2021-07-15,0.7321428571,1
2021-07-16,3.964285714,2
2021-07-17,2.3125,3
2021-07-18,2.3125,0
2021-07-19,2.3125,4
2021-07-20,2.3125,1
2021-07-21,2.3125,3
2021-07-22,2.3125,6
2021-07-31,1.15625,0
2021-08-01,1.027777778,0
2021-08-02,0.925,1
2021-08-03,0.925,2
2021-08-04,1.027777778,6
2021-08-05,1.027777778,6
2021-08-06,1.607142857,1
2021-08-07,1.5,0
2021-08-08,1.5,0
2021-08-09,1.5,7
2021-08-10,1.5,4
2021-08-11,1.5,4
2021-08-12,1.5,2
2021-08-13,1.35,0
2021-08-14,1.35,0
2021-08-15,1.6875,0
2021-08-16,1.6875,1
2021-08-17,1.6875,6
2021-08-18,1.6875,3
2021-08-19,1.6875,3
2021-08-20,3.954545455,1
2021-08-21,3.075757576,0
2021-08-22,3.075757576,0
2021-08-23,3.075757576,3
2021-08-24,3.075757576,5
2021-08-25,3.075757576,0
2021-08-26,3.075757576,4
2021-08-27,0.9583333333,1
2021-08-28,0.9583333333,0
2021-08-29,0.7453703704,0
2021-08-30,0.7453703704,3
2021-08-31,0.7453703704,6
2021-09-01,0.7453703704,6
2021-09-02,0.7453703704,5
2021-09-03,1.928571429,0
2021-09-04,2.25,0
2021-09-05,1.6875,0
2021-09-06,1.35,2
2021-09-07,1.35,6
2021-09-08,1.35,2
2021-09-09,1.35,4
2021-09-10,1.071428571,3
2021-09-11,1.041666667,3
2021-09-12,1.041666667,0
2021-09-13,1.041666667,1
2021-09-14,1.041666667,0
2021-09-15,1.041666667,8
2021-09-16,1.041666667,2
2021-09-17,1.071428571,1
2021-09-18,1.09375,0
2021-09-19,1.09375,0
2021-09-20,1.25,1
2021-09-21,1.25,4
2021-09-22,1.25,2
2021-09-23,1.25,1
2021-10-02,0.75,0
2021-10-03,0.6818181818,0
2021-10-04,0.6818181818,2
2021-10-05,0.6818181818,1
2021-10-06,0.6818181818,0
2021-10-07,0.6818181818,3
2021-10-08,1.928571429,1
2021-10-09,1.6875,0
2021-10-10,1.6875,0
2021-10-11,1.6875,0
2021-10-12,1.6875,2
2021-10-13,1.35,3
2021-10-14,1.125,0
2021-10-15,1.714285714,1
2021-10-16,1.333333333,0
2021-10-17,1.333333333,0
2021-10-18,1.333333333,2
2021-10-19,1.142857143,6
2021-10-20,1.142857143,2
2021-10-21,1.142857143,1
2021-10-22,1.114285714,5
2021-10-23,0.9285714286,0
2021-10-24,1.083333333,0
2021-10-25,1.083333333,1
2021-10-26,1.083333333,4
2021-10-27,1.083333333,8
2021-10-28,1.083333333,1
2021-10-29,1.339285714,4
2021-10-30,1.25,0
2021-10-31,0.8928571429,0
2021-11-01,1.041666667,0
2021-11-02,1.25,0
2021-11-03,1.25,0
2021-11-04,1.25,0
2021-11-05,0.7653061224,0
2021-11-06,0.6944444444,0
2021-11-07,0.78125,0
2021-11-08,0.6944444444,6
2021-11-09,0.6944444444,2
2021-11-10,0.6944444444,3
2021-11-11,0.6944444444,2
2021-11-12,1.017857143,2
2021-11-13,0.95,0
2021-11-14,0.95,0
2021-11-15,0.95,3
2021-11-16,0.95,3
2021-11-17,0.95,2
2021-11-18,0.95,2
2021-11-19,3.0625,0
2021-11-20,3.0625,0
2021-11-21,3.0625,0
2021-11-22,3.0625,4
2021-11-23,3.0625,2
2021-11-24,3.0625,0
2021-11-25,3.0625,0
2021-11-26,1.142857143,0
2021-11-27,0.8888888889,0
2021-11-28,1.066666667,0
2021-11-29,1.066666667,0
2021-11-30,1.066666667,2
2021-12-01,1.066666667,3
2021-12-02,1.066666667,4
2021-12-03,2.761904762,2
2021-12-04,3.222222222,0
2021-12-05,2.416666667,0
2021-12-06,2.416666667,2
2021-12-07,2.416666667,2
2021-12-08,2.416666667,2
2021-12-09,2.416666667,1
2021-12-17,7.153846154,0
2021-12-18,4.173076923,0
2021-12-19,2.782051282,0
2021-12-20,2.782051282,1
2021-12-21,2.782051282,5
2021-12-22,2.782051282,3
2021-12-23,2.782051282,4
2021-12-24,2.714285714,3
2021-12-25,3.166666667,0
2021-12-26,2.375,0
2021-12-27,2.375,0
2021-12-28,2.375,5
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,0,
,0,
,0,
,2,
,0,
,0,
,1,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,54,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,2,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,8,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,17,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,38,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,